Problem,n,m,Time,Kurtosis,N,Obj
Generator_10M_1_1.mat,10,10000000,4.347604,2.17768785380382,20,118.035786923113
Generator_10M_1_1.mat,10,10000000,4.207698,1.25073631168165,20,38.4569978432125
Generator_10M_1_1.mat,10,10000000,4.209927,1.13413169636173,20,7.64238699893409
Generator_10M_1_1.mat,10,10000000,4.201327,1.12296923481108,20,-16.2058909883202
Generator_10M_1_1.mat,10,10000000,4.204393,1.12186473588828,20,-39.3144740141714
Generator_10M_1_10.mat,10,10000000,4.395555,2.28562385050685,20,121.831054336905
Generator_10M_1_10.mat,10,10000000,4.382586,1.223688049123,20,39.4064584084836
Generator_10M_1_10.mat,10,10000000,4.388225,1.11810876120823,20,8.62631653156707
Generator_10M_1_10.mat,10,10000000,4.377273,1.10831855799399,20,-15.2092013464839
Generator_10M_1_10.mat,10,10000000,4.395542,1.10735215416802,20,-38.3163590796889
Generator_10M_1_2.mat,10,10000000,4.46958,1.75050460066292,20,110.802208841728
Generator_10M_1_2.mat,10,10000000,4.457684,1.17025263999707,20,34.5769718289284
Generator_10M_1_2.mat,10,10000000,4.456802,1.09703069351452,20,3.62649455995677
Generator_10M_1_2.mat,10,10000000,4.457776,1.08987384928567,20,-20.2720475038592
Generator_10M_1_2.mat,10,10000000,4.476892,1.08916336445366,20,-43.3862146875165
Generator_10M_1_3.mat,10,10000000,4.200435,2.1788802711497,20,97.4913487020384
Generator_10M_1_3.mat,10,10000000,4.200365,1.27053341029491,20,21.9961928914858
Generator_10M_1_3.mat,10,10000000,4.204002,1.14515030067458,20,-8.79091922233562
Generator_10M_1_3.mat,10,10000000,4.200728,1.13329780304256,20,-32.6709733011328
Generator_10M_1_3.mat,10,10000000,4.20621,1.13212604208997,20,-55.7832352508864
Generator_10M_1_4.mat,10,10000000,4.7057,1.18618323363101,20,82.1043845416318
Generator_10M_1_4.mat,10,10000000,4.698445,1.05464051294449,20,5.43572028501009
Generator_10M_1_4.mat,10,10000000,4.687742,1.04262342999603,20,-28.1532095330487
Generator_10M_1_4.mat,10,10000000,4.695646,1.04150007836987,20,-52.4777796492215
Generator_10M_1_4.mat,10,10000000,4.69775,1.04138879153206,20,-75.6371547935856
Generator_10M_1_5.mat,10,10000000,4.577129,1.69232423341696,20,106.555204708658
Generator_10M_1_5.mat,10,10000000,4.566502,1.16669202471871,20,37.7247250315294
Generator_10M_1_5.mat,10,10000000,4.573912,1.09281513461779,20,7.91221318824562
Generator_10M_1_5.mat,10,10000000,4.602789,1.08554766453378,20,-15.8363256183271
Generator_10M_1_5.mat,10,10000000,4.598532,1.08482580987132,20,-38.9349359565385
Generator_10M_1_6.mat,10,10000000,4.643603,1.87602627151571,20,108.86236072323
Generator_10M_1_6.mat,10,10000000,4.656509,1.24508435667617,20,36.3687325886793
Generator_10M_1_6.mat,10,10000000,4.652109,1.14152063614422,20,6.81942705967256
Generator_10M_1_6.mat,10,10000000,4.648706,1.13089774494311,20,-16.8954113707868
Generator_10M_1_6.mat,10,10000000,4.660211,1.12983891779391,20,-39.9905640513469
Generator_10M_1_7.mat,10,10000000,3.984076,2.52729214055207,20,111.10427408281
Generator_10M_1_7.mat,10,10000000,3.981299,1.33694901045384,20,35.2059062348456
