Problem,n,m,Time,N,Obj
Generator_10M_1_1.mat,10,10000000,4.364975,20,118.035786923113
Generator_10M_1_10.mat,10,10000000,4.415632,20,121.831054336905
Generator_10M_1_2.mat,10,10000000,4.505327,20,110.802208841728
Generator_10M_1_3.mat,10,10000000,4.228981,20,97.4913487020384
Generator_10M_1_4.mat,10,10000000,4.705958,20,82.1043845416311
Generator_10M_1_5.mat,10,10000000,4.574209,20,106.555204708658
Generator_10M_1_6.mat,10,10000000,4.610081,20,108.86236072323
Generator_10M_1_7.mat,10,10000000,3.92479,20,111.10427408281
Generator_10M_1_8.mat,10,10000000,4.576194,20,93.6717505708583
Generator_10M_1_9.mat,10,10000000,4.181577,20,110.717917078181
Generator_10M_2_1.mat,20,10000000,8.750429,40,233.649143646439
Generator_10M_2_10.mat,20,10000000,8.158203,40,222.825589452468
Generator_10M_2_2.mat,20,10000000,8.807856,40,247.316723304714
Generator_10M_2_3.mat,20,10000000,8.476802,40,254.457593902342
Generator_10M_2_4.mat,20,10000000,10.161736,40,164.960401257846
Generator_10M_2_5.mat,20,10000000,8.482211,40,243.461899439601
Generator_10M_2_6.mat,20,10000000,8.212102,40,217.628554872989
Generator_10M_2_7.mat,20,10000000,9.864593,40,165.400233367178
Generator_10M_2_8.mat,20,10000000,8.57601,40,194.125927173195
Generator_10M_2_9.mat,20,10000000,9.808802,40,107.201125654082
Generator_10M_3_1.mat,30,10000000,15.302226,60,306.816219066008
Generator_10M_3_10.mat,30,10000000,15.242893,60,317.166229884767
Generator_10M_3_2.mat,30,10000000,12.867234,60,355.865285326097
Generator_10M_3_3.mat,30,10000000,11.732713,60,319.497459116525
Generator_10M_3_4.mat,30,10000000,13.125791,60,281.424307835681
Generator_10M_3_5.mat,30,10000000,12.649949,60,351.491558145388
Generator_10M_3_6.mat,30,10000000,14.279315,60,404.277708765693
Generator_10M_3_7.mat,30,10000000,14.9663,60,246.22990820306
Generator_10M_3_8.mat,30,10000000,12.522791,60,375.02442093901
Generator_10M_3_9.mat,30,10000000,12.813444,60,297.784534134187
Generator_10M_4_1.mat,40,10000000,19.456385,80,444.850494589041
Generator_10M_4_10.mat,40,10000000,15.861178,80,394.727145110651
Generator_10M_4_2.mat,40,10000000,20.12846,80,389.352127798575
Generator_10M_4_3.mat,40,10000000,16.918422,80,485.463994752531
Generator_10M_4_4.mat,40,10000000,20.478763,80,401.684716464614
Generator_10M_4_5.mat,40,10000000,20.605866,80,361.279450955749
Generator_10M_4_6.mat,40,10000000,18.132969,80,506.501663997589
Generator_10M_4_7.mat,40,10000000,20.856812,80,306.851493561119
Generator_10M_4_8.mat,40,10000000,17.976415,80,412.531378745288
Generator_10M_4_9.mat,40,10000000,17.790051,80,478.146575574834
Generator_10M_5_1.mat,50,10000000,23.612641,100,636.010051571282
Generator_10M_5_10.mat,50,10000000,25.422309,100,400.458913087078
Generator_10M_5_2.mat,50,10000000,21.757456,100,578.079879913931
Generator_10M_5_3.mat,50,10000000,23.239555,100,625.266206915978
Generator_10M_5_4.mat,50,10000000,21.219201,100,542.017150596086
Generator_10M_5_5.mat,50,10000000,22.66709,100,553.879731314336
Generator_10M_5_6.mat,50,10000000,22.476265,100,514.870391508125
Generator_10M_5_7.mat,50,10000000,23.882625,100,642.125141185357
Generator_10M_5_8.mat,50,10000000,22.921065,100,539.3704097554
Generator_10M_5_9.mat,50,10000000,22.515005,100,578.920599348739
