Problem,n,m,Time,N,Obj
Generator_10M_1_1.mat,10,10000000,1.921742,20,118.035786923113
Generator_10M_1_10.mat,10,10000000,1.526238,20,121.831054336905
Generator_10M_1_2.mat,10,10000000,1.589799,20,110.802208841728
Generator_10M_1_3.mat,10,10000000,1.599296,20,97.4913487020384
Generator_10M_1_4.mat,10,10000000,1.935279,20,82.1043845416311
Generator_10M_1_5.mat,10,10000000,1.506726,20,106.555204708658
Generator_10M_1_6.mat,10,10000000,1.490403,20,108.86236072323
Generator_10M_1_7.mat,10,10000000,1.259711,20,111.10427408281
Generator_10M_1_8.mat,10,10000000,1.692392,20,93.6717505708583
Generator_10M_1_9.mat,10,10000000,1.453162,20,110.717917078181
Generator_10M_2_1.mat,20,10000000,3.152018,40,233.649143646439
Generator_10M_2_10.mat,20,10000000,2.922918,40,222.825589452468
Generator_10M_2_2.mat,20,10000000,3.243453,40,247.316723304714
Generator_10M_2_3.mat,20,10000000,2.749405,40,254.457593902342
Generator_10M_2_4.mat,20,10000000,3.574359,40,164.960401257846
Generator_10M_2_5.mat,20,10000000,2.884698,40,243.461899439601
Generator_10M_2_6.mat,20,10000000,2.801003,40,217.628554872989
Generator_10M_2_7.mat,20,10000000,3.695271,40,165.400233367178
Generator_10M_2_8.mat,20,10000000,2.981017,40,194.125927173195
Generator_10M_2_9.mat,20,10000000,3.644049,40,107.201125654082
Generator_10M_3_1.mat,30,10000000,4.989568,60,306.816219066008
Generator_10M_3_10.mat,30,10000000,5.383614,60,317.166229884767
Generator_10M_3_2.mat,30,10000000,4.686239,60,355.865285326097
Generator_10M_3_3.mat,30,10000000,4.146034,60,319.497459116525
Generator_10M_3_4.mat,30,10000000,4.347891,60,281.424307835681
Generator_10M_3_5.mat,30,10000000,4.367583,60,351.491558145388
Generator_10M_3_6.mat,30,10000000,4.398604,60,404.277708765693
Generator_10M_3_7.mat,30,10000000,5.582819,60,246.22990820306
Generator_10M_3_8.mat,30,10000000,4.685608,60,375.02442093901
Generator_10M_3_9.mat,30,10000000,4.501634,60,297.784534134187
Generator_10M_4_1.mat,40,10000000,7.545309,80,444.850494589041
Generator_10M_4_10.mat,40,10000000,5.449994,80,394.727145110651
Generator_10M_4_2.mat,40,10000000,7.417925,80,389.352127798575
Generator_10M_4_3.mat,40,10000000,6.115651,80,485.463994752531
Generator_10M_4_4.mat,40,10000000,6.994655,80,401.684716464614
Generator_10M_4_5.mat,40,10000000,7.155993,80,361.279450955749
Generator_10M_4_6.mat,40,10000000,6.664673,80,506.501663997589
Generator_10M_4_7.mat,40,10000000,6.998652,80,306.851493561119
Generator_10M_4_8.mat,40,10000000,6.2119,80,412.531378745288
Generator_10M_4_9.mat,40,10000000,6.154133,80,478.146575574834
Generator_10M_5_1.mat,50,10000000,8.75222,100,636.010051571282
Generator_10M_5_10.mat,50,10000000,9.086973,100,400.458913087078
Generator_10M_5_2.mat,50,10000000,7.216803,100,578.079879913931
Generator_10M_5_3.mat,50,10000000,7.96666,100,625.266206915978
Generator_10M_5_4.mat,50,10000000,6.930336,100,542.017150596086
Generator_10M_5_5.mat,50,10000000,6.552723,100,553.879731314336
Generator_10M_5_6.mat,50,10000000,7.097309,100,514.870391508125
Generator_10M_5_7.mat,50,10000000,9.127996,100,642.125141185357
Generator_10M_5_8.mat,50,10000000,8.025568,100,539.3704097554
Generator_10M_5_9.mat,50,10000000,8.235075,100,578.920599348739
